entity_legal_name,headquarters_location,date_registered,estimated_employee_band
Notified Limited,Auckland,2020,1-50
NV Play,Auckland,2013,1-50
OneReg,Auckland,2019,1-50
OnSend,Auckland,2019,1-50
Optimaze,Auckland,2001,1-50
Orbica Limited,Auckland,2017,1-50
Orbit Logistics Limited,Auckland,1999,51-200
Order Editing,Auckland,2020,1-50
Origin IT Limited,Auckland,2003,1-50
Orion Health Group Limited,Auckland,2013,201-800
PageProof,Auckland,2014,1-50
Pals,Auckland,2020,1-50
PaperKite Limited,Auckland,2010,1-50
Parallo,Auckland,2015,51-200
Parkable Limited,Auckland,2015,1-50
Partiview Limited,Auckland,2019,1-50
Partly Group Limited,Auckland,2020,51-200
Pathzero Limited,Auckland,2020,1-50
PaySauce Limited,Auckland,2015,1-50
Performio NZ Limited,Auckland,2018,51-200
Pet Direct,Auckland,2019,1-50
PharmAgent,Auckland,2020,1-50
Pie Funds,Auckland,2007,1-50
Plexure Group Limited,Auckland,2010,201-800
Polymath,Auckland,2017,1-50
Portainer NZ Limited,Auckland,2017,1-50
Predict HQ Limited,Auckland,2015,1-50
Preno,Auckland,2015,1-50
Projectworks Limited,Auckland,2019,1-50
Pushpay Holdings Limited,Auckland,2011,201-800
Qippay,Auckland,2020,1-50
Quantifi Photonic Limited,Auckland,2017,1-50
Quanton Limited,Auckland,2016,1-50
Raye Limited,Auckland,2009,1-50
Raygun Limited,Auckland,2007,1-50
Re-Leased Limited,Auckland,2010,51-200
RedShield Limited,Auckland,2012,51-200
Renti,Auckland,2018,1-50
Rex Limited,Auckland,2011,51-200
Rocket Lab Limited,Auckland,2009,801
RocketWerkz,Auckland,2015,51-200
Ruby Play Network,Auckland,2018,1-50
Runn Limited,Auckland,2019,1-50
SafeStack Limited,Auckland,2017,1-50
Sandfield,Auckland,1986,51-200
Scannable,Auckland,2015,1-50
SeaLogs Limited,Auckland,2016,1-50
Securecom,Auckland,1994,51-200
Secured Signing,Auckland,1998,1-50
Sentro,Auckland,2014,1-50
Serato,Auckland,2004,51-200
Serko Limited,Auckland,1994,201-800
Showday Limited,Auckland,2019,1-50
Shutterspeed,Auckland,2019,1-50
Sidekicker Limited,Auckland,2014,51-200
Simfuni,Auckland,1999,201-800
SiteConnect,Auckland,2017,1-50
SnapInspect,Auckland,2012,1-50
Snowball Effect Limited,Auckland,2014,1-50
Sonnar Limited,Auckland,2015,1-50
Soul Machines Limited,Auckland,2016,1-50
SpaceTime Limited,Auckland,2006,1-50
Spiderbox Limited,Auckland,2015,1-50
Spidertracks,Auckland,2001,1-50
Starboard Maritime Intelligence Limited,Auckland,2017,1-50
Starshipit,Auckland,2017,51-200
Stickybeak Limited,Auckland,2015,1-50
StockTrim Limited,Auckland,2017,1-50
Storbie,Auckland,2010,1-50
Storypark Limited,Auckland,2011,1-50
Straker,Auckland,2001,51-200
StretchSense,Auckland,2015,51-200
Subble,Auckland,2020,1-50
SubQuery NZ Limited,Auckland,2020,1-50
Sustainability Limited,Auckland,2016,1-50
Syft Technologies Limited,Auckland,2008,1-50
Syntroper,Auckland,2021,1-50
Tapi,Auckland,2021,1-50
Taska Prosthetics Limited,Auckland,2016,1-50
Tax Traders,Auckland,2014,1-50
TaxGift Limited,Auckland,2019,1-50
TaxLab,Auckland,2015,1-50
Teacher's Buddy,Auckland,2020,1-50
Tech Futures Lab Limited,Auckland,2018,1-50
Termina,Auckland,2021,1-50
Tether,Auckland,2015,1-50
Thanks,Auckland,2020,1-50
The Mind Lab Limited,Auckland,2014,1-50
The Spinoff Limited,Auckland,2014,1-50
Thematic,Auckland,2015,1-50
Ticket Fairy Limited,Auckland,2013,1-50
Tiep Limited,Auckland,2016,1-50
Timeline Limited,Auckland,2011,1-50
Timely Limited,Auckland,2013,51-200
Timescapes,Auckland,2019,1-50
Timezy Limited,Auckland,2018,1-50
Tiny Insights Limited,Auckland,2017,1-50
Titus Limited,Auckland,2014,1-50
Toku Eyes,Auckland,2019,1-50
Tracksuit Limited,Auckland,2021,51-200
Trade Me Limited,Auckland,2006,201-800
TradeWindow,Auckland,2020,51-200
Tradify Limited,Auckland,2014,51-200
Trev,Auckland,2018,1-50
Tully Limited,Auckland,2019,1-50
UneeQ Limited,Auckland,2018,51-200
Unleashed Software,Auckland,2011,51-200
V2 AI,Auckland,2022,1-50
Valocity,Auckland,2016,51-200
Vend Limited,Auckland,2012,201-800
Veovo Limited,Auckland,2004,201-800
Vertus Energy Limited,Auckland,2016,1-50
Vessev,Auckland,2022,1-50
Vidapp,Auckland,2016,1-50
Vincere Limited,Auckland,2012,201-800
Visa New Zealand Limited,Auckland,2006,1-50
Vital Limited,Auckland,2003,1-50
Volpara Health Limited,Auckland,2011,51-200
Waddle Limited,Auckland,2015,1-50
Watchful,Auckland,2019,1-50
Wedge,Auckland,2021,1-50
WellRevolution Limited,Auckland,2021,1-50
Whip Around,Auckland,2016,51-200
Whiplash Limited,Auckland,2012,51-200
Wilderjack Limited,Auckland,2020,1-50
Windcave,Auckland,1999,201-800
Wych,Auckland,2018,1-50
Xplor Technologies Limited,Auckland,2016,201-800
Yabble Limited,Auckland,2013,1-50
Yellow Limited,Auckland,1988,51-200
Zenno Astronautics,Auckland,2017,1-50
ZeroJet,Auckland,2014,1-50
Zhik Limited,Auckland,2003,1-50
Rocketspark,Cambridge,2009,1-50
Chomp Digital Food Safety,Christchurch,2021,1-50
Dawn Aerospace Limited,Christchurch,2015,51-200
Evnex,Christchurch,2020,51-200
First Table,Christchurch,2014,1-50
Kea Aerospace,Christchurch,2018,1-50
Onside,Christchurch,2015,1-50
Orah,Christchurch,2014,1-50
Pyper Vision,Christchurch,2016,1-50
Seequent,Christchurch,1997,201-800
VXT,Christchurch,2019,1-50
Workride,Christchurch,2023,1-50
Delivereasy Limited,Dunedin,2014,51-200
Education Perfect Limited,Dunedin,2012,201-800
PocketSmith,Dunedin,2008,1-50
Kiwispan Limited,Hamilton,2003,1-50
Protag Limited,Hamilton,2022,1-50
Smartrak,Hamilton,2003,1-50
Winely Limited,Hawke'sBay,2018,1-50
Zeffer Limited,Hawke'sBay,2009,1-50
FundTap,Nelson,2010,1-50
Shuttlerock Limited,Nelson,2015,51-200
Captivate Technology,Palmerston North,2022,1-50
Frogparking,Palmerston North,2009,1-50
Miruku,Palmerston North,2020,1-50
Scanabull,Raglan,2017,1-50
Cetogenix,Rotorua,2022,1-50
Carepatron Limited,Tauranga,2019,1-50
LawVu Limited,Tauranga,2015,51-200
SmartSpace.ai,Tauranga,2019,1-50
SwipedOn,Tauranga,2017,51-200
Advemto Limited,Wellington,2022,1-50
Arcanum AI,Wellington,2016,1-50
Arlo,Wellington,2005,51-200
Authsignal,Wellington,2021,1-50
Biolumic Limited,Wellington,2016,51-200
CloudCannon,Wellington,2014,1-50
Cogo Limited,Wellington,2016,51-200
Easy Crypto Limited,Wellington,2017,51-200
FarmIQ Systems Limited,Wellington,2013,1-50
Flux Federation,Wellington,2017,51-200
Foundry Lab,Wellington,2018,1-50
FTN Motion,Wellington,2020,1-50
Hnry Limited,Wellington,2016,51-200
Jooules,Wellington,2023,1-50
Kry10,Wellington,2018,1-50
Litmaps,Wellington,2016,1-50
MarginFuel,Wellington,2006,1-50
OpenStar Technologies Limited,Wellington,2021,51-200
Optimal Workshop Limited,Wellington,2007,51-200
PikPok,Wellington,1997,51-200
RosterLab,Wellington,2022,1-50
Sharesies Limited,Wellington,2016,51-200
Smartly,Wellington,2017,51-200
Synty Studios,Wellington,2014,1-50
Totara,Wellington,2001,51-200
Tourwriter,Wellington,2007,1-50
Upstock,Wellington,2020,1-50
Wipster,Wellington,2012,1-50
Wonky Box,Wellington,2021,1-50
Xero Limited,Wellington,2006,801
